"Class[Size] ->","tseries[116-by-1]","tseries[116-by-1]","tseries[116-by-1]","tseries[116-by-1]","tseries[116-by-1]","tseries[116-by-1]","tseries[116-by-1]","tseries[116-by-1]","tseries[116-by-1]","tseries[116-by-1]","tseries[116-by-1]","tseries[116-by-1]","tseries[116-by-1]","tseries[116-by-1]","tseries[116-by-1]","tseries[116-by-1]","tseries[116-by-1]","tseries[116-by-1]","tseries[116-by-1]","tseries[116-by-1]","tseries[116-by-1]","tseries[116-by-1]","tseries[116-by-1]","tseries[116-by-1]","tseries[116-by-1]","tseries[116-by-1]","tseries[116-by-1]","tseries[116-by-1]","tseries[116-by-1]","tseries[116-by-1]","tseries[116-by-1]","tseries[116-by-1]","tseries[116-by-1]","tseries[116-by-1]","tseries[116-by-1]","tseries[116-by-1]","tseries[116-by-1]","tseries[116-by-1]","tseries[116-by-1]","tseries[116-by-1]","tseries[116-by-1]","tseries[116-by-1]","tseries[116-by-1]","tseries[116-by-1]","tseries[116-by-1]","tseries[116-by-1]","tseries[116-by-1]","tseries[116-by-1]","tseries[116-by-1]","tseries[116-by-1]","tseries[116-by-1]","tseries[116-by-1]","tseries[116-by-1]","tseries[116-by-1]","tseries[116-by-1]","tseries[116-by-1]","tseries[116-by-1]","tseries[116-by-1]","tseries[116-by-1]","tseries[116-by-1]","tseries[116-by-1]","tseries[116-by-1]","tseries[116-by-1]","tseries[116-by-1]","tseries[116-by-1]","tseries[116-by-1]","tseries[116-by-1]","tseries[116-by-1]","tseries[116-by-1]","tseries[116-by-1]","tseries[116-by-1]","tseries[116-by-1]","tseries[116-by-1]","tseries[116-by-1]","tseries[116-by-1]","tseries[116-by-1]","tseries[116-by-1]","tseries[116-by-1]","tseries[116-by-1]","tseries[116-by-1]","tseries[116-by-1]","tseries[116-by-1]","tseries[116-by-1]","tseries[116-by-1]","tseries[116-by-1]","tseries[116-by-1]","tseries[116-by-1]","tseries[116-by-1]"
"2021Q1",1.49840000e+02,1.49840000e+02,2.64877000e+02,1.75000000e+00,7.72032839e+00,7.73851600e+00,1.17034164e+02,1.23200000e+01,4.25000000e+00,2.83130000e-01,6.28194000e+04,1.31888400e+05,3.37736000e+05,2.29124800e+05,1.78675822e+04,1.03271921e+04,1.13394226e+05,1.19229330e+02,3.72194076e+03,2.15317474e+00,8.54451356e+01,7.97293143e+04,6.36591630e+04,4.19243193e+04,8.80194875e+04,2.25397758e+05,1.52912974e+05,4.24847591e+04,7.56768727e+04,5.32096332e+04,1.40515815e+03,1.28886506e+05,1.19046058e+05,1.16668763e+04,2.06378899e+04,3.95544120e+03,2.68922154e+04,4.60242380e+04,1.35591868e+05,1.38109743e+05,1.84106250e+04,5.80934426e+01,-1.82309686e+00,2.45933311e+04,4.55987662e+05,5.44211713e+04,7.22553944e+04,9.70208524e+04,1.68947503e+05,5.12034695e+05,5.24780198e+05,3.59295553e+05,-8.30292856e-01,1.30518907e+00,-4.19928165e-01,-4.72619334e+00,1.13338704e+00,-6.93686325e+00,-4.17525242e+00,5.18717609e-01,5.84163311e+00,5.84163311e+00,1.82544412e+01,1.80529971e+01,1.23405982e+01,-1.35878552e+00,-3.01143608e+01,1.89956597e+01,8.84632562e+00,1.45846987e+01,-3.14185241e+00,4.40771522e-01,5.33810461e-01,-2.61669020e+00,2.52708433e+01,2.81421329e+01,2.61976251e+00,-3.41903881e+00,4.50577031e+00,8.80949937e+00,-2.75577031e+00,7.81422969e+00,9.99239409e-01,2.50000000e+00,-6.10209388e-10,2.47723142e+00,-7.27231422e-01,8.07000000e+00
"2021Q2",1.50520000e+02,1.50520000e+02,2.71696000e+02,1.75000000e+00,7.73851600e+00,7.73186367e+00,1.14345232e+02,1.22400000e+01,4.15000000e+00,2.46250000e-01,6.27769000e+04,1.33392600e+05,3.45364700e+05,2.34727400e+05,1.81699600e+04,1.02743288e+04,1.19648641e+05,1.25277635e+02,3.62549166e+03,1.94688400e+00,8.74544552e+01,7.95080578e+04,6.78662480e+04,4.17066835e+04,8.86211799e+04,2.29447715e+05,1.55944326e+05,4.50878608e+04,7.94901944e+04,5.28222547e+04,1.33439272e+03,1.32312449e+05,1.19436977e+05,1.45142724e+04,2.10013779e+04,1.34451184e+03,2.68841698e+04,4.97168723e+04,1.34491334e+05,1.35649035e+05,1.89381500e+04,6.61866667e+01,-8.53453363e-01,2.23458897e+04,4.72493915e+05,5.62593494e+04,7.99714996e+04,1.02264202e+05,1.83257534e+05,5.30018601e+05,5.41047729e+05,3.69207881e+05,4.93098162e+00,5.98226120e+00,5.45354814e+00,9.65017508e+00,5.83623049e+00,3.13287396e+00,8.58236013e+00,4.82330267e+00,3.90722076e+00,3.90722076e+00,1.03703749e+01,1.33719739e+01,1.17976394e+01,1.80148260e+00,-2.51592177e+01,1.41757353e+01,-4.86030141e+00,5.73014846e+00,7.08407652e+00,5.33810461e-01,-3.26672663e-01,1.96985878e+00,3.43375708e+01,1.36715091e+02,5.39145141e+00,1.64695969e+00,5.08865500e+00,1.99304596e+01,-3.33865500e+00,7.15134500e+00,5.70494295e-02,2.40000000e+00,-4.33431728e-10,2.42731274e+00,-6.77312740e-01,8.09000000e+00
"2021Q3",1.51650000e+02,1.51650000e+02,2.74310000e+02,1.75000000e+00,7.73186367e+00,7.72541419e+00,1.14204127e+02,1.21600000e+01,4.04000000e+00,2.36630000e-01,6.44486000e+04,1.34646700e+05,3.52079100e+05,2.40513000e+05,1.95007990e+04,1.01761634e+04,1.18165205e+05,1.29189192e+02,3.84157009e+03,2.21459168e+00,8.75625099e+01,7.86807081e+04,7.30152374e+04,4.24982526e+04,8.87878009e+04,2.32165579e+05,1.58597428e+05,4.81472056e+04,7.79196868e+04,5.18830914e+04,1.40044843e+03,1.29802778e+05,1.22642029e+05,1.41497887e+04,2.21132745e+04,-9.10426565e+02,2.65054934e+04,5.06741271e+04,1.35368612e+05,1.35415794e+05,1.91676750e+04,7.05754687e+01,-3.48423750e-02,2.12028479e+04,4.82336612e+05,5.67763713e+04,8.66924741e+04,1.05296254e+05,1.94039636e+05,5.40184924e+05,5.47534883e+05,3.74989450e+05,7.29928860e+00,6.77876377e+00,7.95307598e+00,2.28886673e+01,6.81863202e+00,8.44076888e+00,1.77475289e+01,6.36348565e+00,3.67104184e+00,3.67104184e+00,8.23998342e+00,6.24466857e+00,8.04620642e+00,5.95016340e+00,-1.40611910e+01,5.62454271e+00,-5.79050554e+00,7.45328849e-01,1.82192344e+01,-3.26672663e-01,-9.71700946e-01,1.32634375e+00,3.18102417e+01,7.25911038e+01,5.39034886e+00,3.64645081e+00,3.61664397e+00,1.39163502e+01,-1.86664397e+00,8.54335603e+00,-2.18945242e-01,2.29000000e+00,-3.07866556e-10,2.41188511e+00,-6.61885106e-01,8.12000000e+00
"2021Q4",1.53202627e+02,1.53202627e+02,2.78802000e+02,1.75000000e+00,7.72541419e+00,7.69411548e+00,1.13607329e+02,1.19200000e+01,3.99000000e+00,5.83130000e-01,7.19551000e+04,1.48342200e+05,3.69207100e+05,2.54438800e+05,2.24992067e+04,1.10971532e+04,1.19005700e+05,1.33691103e+02,4.25787290e+03,2.51767083e+00,8.80224903e+01,8.57301048e+04,7.80375479e+04,4.69672755e+04,9.68274519e+04,2.40992669e+05,1.66079920e+05,5.09374737e+04,7.76786288e+04,5.59586389e+04,1.52720314e+03,1.33637268e+05,1.28539924e+05,1.69972729e+04,2.13511571e+04,5.94131429e+01,2.74133855e+04,5.54422653e+04,1.41128738e+05,1.40586238e+05,1.94273000e+04,7.75441000e+01,3.85883901e-01,2.14105703e+04,4.89664988e+05,5.73282104e+04,8.95526390e+04,1.07695264e+05,2.01857503e+05,5.46580551e+05,5.49760810e+05,3.77360124e+05,7.98076948e+00,6.05189126e+00,8.87807460e+00,2.83255297e+01,4.98261620e+00,1.16804720e+01,2.20855651e+01,6.54427408e+00,3.06958228e+00,3.06958228e+00,8.73981654e+00,8.23892501e+00,8.29022516e+00,9.36848823e+00,-1.01238720e+01,7.16292415e+00,2.03136362e+00,4.95263712e+00,2.55742898e+01,-9.71700946e-01,-3.39530933e-01,2.84127418e+00,2.31077291e+01,8.23497818e+01,7.03640287e+00,5.67101992e+00,3.84451751e+00,1.30511298e+01,-2.09451751e+00,8.07548249e+00,-3.33101798e-01,2.24000000e+00,-2.18677615e-10,2.44219921e+00,-6.92199211e-01,7.93000000e+00
"2022Q1",1.56090000e+02,1.56090000e+02,2.87504000e+02,1.75000000e+00,7.69411548e+00,NaN,1.12703457e+02,1.19500000e+01,3.91000000e+00,2.10143000e+00,7.11789000e+04,1.47591900e+05,3.77880800e+05,2.61788800e+05,2.06184631e+04,1.09892870e+04,1.22353678e+05,1.59692242e+02,4.23348516e+03,2.76172281e+00,8.87284226e+01,8.45528433e+04,8.07884288e+04,4.56011916e+04,9.45556410e+04,2.42091614e+05,1.67716574e+05,5.17575942e+04,7.83866215e+04,5.41692890e+04,1.47249609e+03,1.32555911e+05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.94488754e+04,7.61242767e+01,NaN,NaN,4.91063143e+05,5.80076205e+04,8.92274748e+04,1.07117659e+05,1.93141496e+05,5.46913145e+05,NaN,3.87149122e+05,6.81173568e+00,NaN,7.69219976e+00,2.34890150e+01,6.59017274e+00,1.04068413e+01,1.43204209e+01,7.75227204e+00,4.17111586e+00,4.17111586e+00,8.77026129e+00,7.42580275e+00,7.40639853e+00,9.68106208e+00,4.79219641e+00,3.58068281e+00,1.80353786e+00,2.84700452e+00,2.18262627e+01,-3.39530933e-01,NaN,3.84256739e+00,3.39370460e+01,3.10376408e+01,8.54245555e+00,5.63940866e+00,NaN,1.07567056e+01,NaN,NaN,NaN,2.16000000e+00,-1.55326710e-10,2.58463762e+00,-8.34637618e-01,8.04000000e+00
"2022Q2",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.87449045e+00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.28000000e+00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.99293910e+00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"2022Q3",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.93724523e+00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.13000000e+00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.34646955e+00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"2022Q4",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.00000000e+00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.70000000e+00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"2023Q1",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.35000000e+00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"2023Q2",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.00000000e+00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"2023Q3",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.65000000e+00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"2023Q4",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.30000000e+00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
